200 5000
0 1 157
0 11 168
0 24 20
0 30 25
0 37 163
0 56 70
0 86 7
0 104 31
0 113 195
0 124 81
0 125 63
0 127 130
0 172 155
0 177 45
0 187 75
0 193 140
0 194 139
0 196 166
0 197 170
1 0 143
1 14 85
1 22 136
1 28 148
1 60 142
1 62 167
1 80 87
1 88 26
1 92 114
1 96 57
1 153 196
1 155 114
1 159 53
1 161 165
1 167 155
1 175 170
1 181 52
1 183 155
1 186 125
1 189 69
1 194 23
1 195 126
1 198 121
2 1 124
2 7 73
2 14 19
2 16 195
2 21 129
2 26 196
2 39 169
2 42 183
2 49 82
2 60 131
2 62 173
2 64 198
2 77 163
2 87 95
2 110 134
2 126 4
2 132 118
2 134 191
2 163 140
2 164 94
2 171 84
2 173 120
2 177 132
3 0 40
3 10 152
3 29 53
3 47 57
3 49 77
3 54 16
3 63 136
3 80 97
3 96 132
3 121 166
3 130 53
3 135 135
3 137 107
3 167 15
3 185 96
3 197 190
3 198 125
3 199 179
4 0 146
4 3 151
4 5 14
4 6 68
4 17 139
4 19 99
4 28 19
4 34 186
4 46 27
4 49 174
4 57 170
4 70 44
4 74 125
4 82 75
4 85 155
4 119 99
4 123 53
4 126 181
4 127 63
4 133 76
4 142 189
4 146 189
4 158 44
4 183 160
4 191 122
4 199 182
5 0 20
5 2 31
5 14 80
5 46 95
5 51 66
5 54 40
5 67 75
5 88 106
5 96 65
5 121 198
5 123 67
5 131 148
5 133 200
5 145 170
5 147 124
5 164 102
5 172 78
5 182 165
5 187 90
5 190 22
6 0 195
6 1 113
6 2 110
6 11 108
6 17 29
6 29 170
6 40 126
6 41 80
6 49 185
6 50 16
6 52 133
6 55 27
6 68 172
6 84 104
6 86 146
6 95 87
6 97 24
6 128 121
6 133 15
6 142 143
6 143 34
6 145 10
6 162 183
6 165 132
6 180 28
6 183 150
6 186 100
6 189 159
6 192 174
6 195 175
7 0 18
7 4 24
7 5 59
7 30 71
7 31 69
7 37 103
7 39 141
7 40 103
7 46 41
7 49 161
7 54 98
7 58 55
7 87 151
7 102 193
7 112 57
7 130 140
7 134 150
7 141 193
7 145 39
7 163 77
7 168 152
7 182 141
7 186 89
7 197 168
8 2 90
8 3 122
8 4 183
8 37 134
8 50 84
8 61 174
8 64 43
8 76 20
8 78 23
8 82 147
8 83 180
8 88 117
8 89 43
8 96 57
8 98 8
8 103 55
8 113 39
8 116 28
8 121 69
8 129 18
8 141 64
8 147 172
8 152 120
8 165 184
8 172 67
8 188 64
8 195 47
8 198 169
9 2 19
9 5 109
9 22 16
9 34 56
9 42 149
9 77 103
9 78 173
9 83 198
9 94 181
9 104 86
9 109 183
9 121 136
