--Rotas do 1º turno-----------------------------
0 -> 114 (173)
1 -> 245 (199)
2 -> 110 (164)
2 -> 114 (19)
3 -> 5 (166)
3 -> 10 (148)
3 -> 13 (180)
3 -> 19 (138)
3 -> 20 (165)
3 -> 25 (125)
3 -> 26 (137)
3 -> 33 (149)
3 -> 36 (185)
3 -> 39 (176)
3 -> 110 (117)
3 -> 114 (101)
3 -> 246 (108)
3 -> 324 (95)
3 -> 551 (199)
3 -> 702 (64)
3 -> 705 (200)
3 -> 720 (84)
3 -> 724 (99)
4 -> 29 (122)
4 -> 682 (23)
5 -> 795 (199)
6 -> 114 (188)
7 -> 29 (171)
7 -> 459 (13)
8 -> 110 (142)
8 -> 705 (18)
9 -> 110 (140)
10 -> 110 (197)
12 -> 114 (168)
13 -> 29 (112)
13 -> 110 (68)
15 -> 29 (125)
15 -> 705 (38)
16 -> 114 (119)
16 -> 459 (77)
17 -> 0 (173)
17 -> 4 (145)
17 -> 6 (123)
17 -> 8 (160)
17 -> 9 (140)
17 -> 10 (49)
17 -> 16 (196)
17 -> 22 (163)
17 -> 23 (192)
17 -> 25 (34)
17 -> 27 (146)
17 -> 34 (158)
17 -> 37 (167)
17 -> 47 (200)
17 -> 51 (140)
17 -> 52 (168)
17 -> 63 (151)
17 -> 64 (160)
17 -> 77 (99)
17 -> 78 (126)
17 -> 84 (156)
17 -> 86 (169)
17 -> 87 (166)
17 -> 95 (179)
17 -> 100 (163)
17 -> 111 (136)
17 -> 114 (148)
17 -> 115 (199)
17 -> 124 (198)
17 -> 150 (119)
17 -> 156 (172)
17 -> 170 (171)
17 -> 175 (158)
17 -> 203 (119)
17 -> 209 (150)
17 -> 434 (167)
17 -> 550 (142)
17 -> 654 (128)
17 -> 877 (112)
17 -> 892 (137)
17 -> 904 (162)
17 -> 911 (79)
17 -> 932 (76)
17 -> 950 (131)
17 -> 954 (120)
18 -> 29 (157)
19 -> 29 (138)
20 -> 459 (155)
20 -> 466 (10)
21 -> 646 (152)
22 -> 29 (121)
22 -> 459 (42)
23 -> 110 (191)
23 -> 114 (1)
24 -> 110 (145)
24 -> 646 (19)
25 -> 114 (159)
26 -> 795 (173)
27 -> 110 (146)
28 -> 459 (148)
28 -> 993 (27)
30 -> 262 (192)
31 -> 245 (165)
32 -> 245 (159)
33 -> 646 (167)
34 -> 29 (138)
34 -> 114 (20)
35 -> 29 (111)
35 -> 646 (84)
36 -> 29 (181)
36 -> 110 (4)
37 -> 459 (163)
37 -> 646 (4)
38 -> 29 (137)
39 -> 245 (176)
40 -> 466 (170)
40 -> 646 (1)
41 -> 705 (190)
42 -> 466 (183)
42 -> 654 (2)
43 -> 114 (156)
43 -> 459 (1)
44 -> 114 (152)
44 -> 179 (44)
44 -> 352 (4)
45 -> 114 (85)
45 -> 646 (43)
46 -> 29 (131)
46 -> 110 (63)
47 -> 110 (146)
47 -> 459 (54)
48 -> 466 (139)
49 -> 114 (178)
50 -> 29 (159)
50 -> 114 (21)
51 -> 29 (123)
51 -> 654 (17)
52 -> 245 (176)
53 -> 114 (181)
54 -> 646 (193)
55 -> 29 (130)
55 -> 245 (20)
56 -> 12 (130)
56 -> 31 (139)
56 -> 38 (123)
56 -> 41 (162)
56 -> 46 (194)
56 -> 50 (180)
56 -> 62 (130)
56 -> 63 (19)
56 -> 69 (154)
56 -> 71 (167)
56 -> 76 (170)
56 -> 77 (44)
56 -> 82 (195)
56 -> 85 (196)
56 -> 99 (198)
56 -> 102 (172)
56 -> 103 (112)
56 -> 107 (95)
56 -> 112 (185)
56 -> 114 (169)
56 -> 119 (120)
56 -> 125 (140)
56 -> 128 (120)
56 -> 129 (194)
56 -> 131 (137)
56 -> 137 (141)
56 -> 139 (184)
56 -> 164 (180)
56 -> 168 (168)
56 -> 174 (155)
56 -> 180 (198)
56 -> 186 (139)
56 -> 190 (185)
56 -> 195 (133)
56 -> 200 (117)
56 -> 202 (157)
56 -> 204 (129)
56 -> 208 (114)
56 -> 210 (152)
56 -> 216 (165)
56 -> 232 (163)
56 -> 245 (158)
56 -> 247 (142)
56 -> 248 (187)
56 -> 256 (156)
56 -> 304 (189)
56 -> 377 (100)
56 -> 442 (115)
56 -> 459 (191)
56 -> 493 (51)
56 -> 514 (118)
56 -> 516 (93)
56 -> 519 (78)
56 -> 578 (172)
56 -> 596 (152)
56 -> 604 (106)
56 -> 635 (110)
56 -> 654 (106)
56 -> 674 (93)
56 -> 716 (130)
56 -> 731 (106)
56 -> 735 (154)
56 -> 758 (105)
56 -> 773 (159)
56 -> 795 (136)
56 -> 835 (18)
56 -> 842 (183)
56 -> 848 (108)
56 -> 849 (187)
56 -> 899 (34)
57 -> 114 (135)
57 -> 245 (33)
58 -> 459 (172)
59 -> 29 (190)
60 -> 29 (124)
60 -> 110 (63)
61 -> 114 (131)
61 -> 476 (44)
62 -> 29 (161)
63 -> 466 (170)
64 -> 29 (182)
65 -> 459 (188)
66 -> 466 (172)
67 -> 459 (171)
68 -> 1 (135)
68 -> 2 (183)
68 -> 24 (164)
68 -> 29 (165)
68 -> 245 (163)
68 -> 459 (151)
68 -> 471 (184)
68 -> 474 (27)
68 -> 522 (33)
68 -> 607 (60)
68 -> 654 (114)
68 -> 705 (125)
69 -> 110 (169)
70 -> 29 (145)
70 -> 459 (9)
71 -> 110 (176)
72 -> 110 (155)
73 -> 459 (181)
73 -> 654 (9)
74 -> 110 (173)
74 -> 114 (5)
75 -> 110 (155)
75 -> 466 (7)
76 -> 114 (130)
76 -> 466 (40)
77 -> 646 (143)
78 -> 110 (199)
79 -> 459 (155)
80 -> 459 (173)
81 -> 110 (159)
82 -> 110 (152)
82 -> 114 (43)
83 -> 459 (97)
83 -> 646 (32)
84 -> 114 (191)
85 -> 110 (169)
85 -> 114 (27)
86 -> 459 (169)
87 -> 114 (126)
87 -> 245 (40)
88 -> 114 (148)
88 -> 466 (42)
89 -> 245 (179)
90 -> 245 (194)
91 -> 110 (161)
91 -> 646 (10)
92 -> 459 (13)
93 -> 245 (144)
93 -> 459 (51)
94 -> 1 (64)
94 -> 15 (163)
94 -> 21 (152)
94 -> 29 (149)
94 -> 35 (195)
94 -> 38 (14)
94 -> 43 (157)
94 -> 45 (128)
94 -> 48 (126)
94 -> 54 (163)
94 -> 61 (175)
94 -> 64 (22)
94 -> 72 (155)
94 -> 80 (112)
94 -> 83 (129)
94 -> 84 (35)
94 -> 90 (186)
94 -> 93 (195)
94 -> 105 (182)
94 -> 106 (154)
94 -> 108 (200)
94 -> 118 (110)
94 -> 122 (158)
94 -> 123 (193)
94 -> 125 (59)
94 -> 130 (151)
94 -> 135 (117)
94 -> 136 (191)
94 -> 155 (168)
94 -> 161 (184)
94 -> 162 (181)
94 -> 176 (182)
94 -> 179 (144)
94 -> 185 (174)
94 -> 188 (122)
94 -> 189 (134)
94 -> 191 (144)
94 -> 230 (109)
94 -> 233 (115)
94 -> 241 (151)
94 -> 257 (188)
94 -> 258 (132)
94 -> 413 (191)
94 -> 474 (162)
94 -> 502 (166)
94 -> 591 (172)
94 -> 652 (198)
94 -> 802 (126)
94 -> 882 (112)
95 -> 110 (179)
96 -> 466 (188)
97 -> 114 (189)
98 -> 459 (129)
98 -> 705 (22)
99 -> 114 (136)
99 -> 466 (62)
100 -> 29 (136)
100 -> 110 (27)
101 -> 245 (118)
101 -> 466 (52)
102 -> 110 (177)
103 -> 110 (168)
104 -> 110 (175)
105 -> 646 (181)
105 -> 654 (1)
106 -> 29 (154)
107 -> 110 (133)
108 -> 114 (170)
108 -> 466 (30)
109 -> 459 (139)
111 -> 646 (136)
112 -> 29 (147)
112 -> 245 (38)
113 -> 173 (158)
115 -> 245 (181)
115 -> 646 (18)
116 -> 110 (137)
116 -> 245 (34)
117 -> 459 (183)
118 -> 114 (110)
119 -> 29 (108)
119 -> 114 (12)
120 -> 245 (144)
121 -> 110 (168)
122 -> 114 (177)
123 -> 29 (176)
123 -> 110 (17)
124 -> 29 (126)
124 -> 110 (72)
125 -> 245 (199)
126 -> 466 (131)
126 -> 654 (52)
127 -> 110 (198)
128 -> 110 (186)
129 -> 114 (137)
129 -> 459 (57)
130 -> 245 (174)
131 -> 114 (169)
132 -> 249 (92)
132 -> 459 (107)
133 -> 646 (133)
134 -> 114 (131)
134 -> 459 (15)
135 -> 114 (196)
136 -> 114 (195)
137 -> 110 (165)
139 -> 29 (116)
139 -> 466 (68)
140 -> 459 (122)
140 -> 646 (22)
141 -> 29 (128)
142 -> 245 (191)
142 -> 646 (4)
144 -> 131 (32)
144 -> 209 (47)
144 -> 355 (49)
144 -> 767 (5)
145 -> 245 (164)
146 -> 110 (98)
147 -> 458 (122)
148 -> 110 (134)
148 -> 114 (60)
149 -> 110 (177)
150 -> 459 (152)
151 -> 245 (169)
151 -> 459 (7)
152 -> 114 (170)
153 -> 245 (114)
153 -> 646 (79)
154 -> 110 (146)
154 -> 245 (43)
155 -> 29 (168)
156 -> 459 (172)
157 -> 114 (100)
157 -> 459 (60)
158 -> 29 (175)
159 -> 29 (182)
160 -> 114 (185)
161 -> 29 (159)
161 -> 654 (25)
162 -> 705 (181)
163 -> 18 (157)
163 -> 59 (93)
163 -> 60 (187)
163 -> 65 (188)
163 -> 71 (9)
163 -> 81 (106)
163 -> 97 (189)
163 -> 103 (56)
163 -> 110 (117)
163 -> 114 (67)
163 -> 160 (150)
163 -> 167 (186)
163 -> 206 (163)
163 -> 558 (128)
163 -> 665 (136)
163 -> 795 (94)
163 -> 821 (179)
163 -> 835 (95)
163 -> 841 (92)
164 -> 654 (180)
165 -> 29 (200)
166 -> 114 (91)
166 -> 466 (22)
167 -> 245 (186)
168 -> 114 (180)
169 -> 29 (171)
170 -> 646 (171)
171 -> 245 (173)
172 -> 29 (131)
172 -> 245 (32)
173 -> 646 (147)
173 -> 715 (11)
174 -> 705 (155)
175 -> 29 (189)
176 -> 459 (199)
177 -> 245 (171)
177 -> 466 (23)
178 -> 114 (126)
178 -> 245 (16)
179 -> 29 (188)
180 -> 29 (161)
