--Rotas do 1º turno-----------------------------
6 -> 139 (148)
16 -> 343 (110)
17 -> 240 (86)
25 -> 245 (148)
29 -> 251 (117)
33 -> 58 (86)
57 -> 17 (86)
58 -> 57 (86)
59 -> 33 (86)
87 -> 369 (148)
97 -> 164 (84)
113 -> 258 (84)
139 -> 209 (148)
146 -> 211 (193)
150 -> 266 (110)
157 -> 16 (110)
174 -> 148 (194)
207 -> 276 (112)
209 -> 265 (148)
211 -> 311 (193)
220 -> 174 (194)
224 -> 368 (117)
228 -> 224 (117)
251 -> 3 (117)
258 -> 97 (84)
266 -> 157 (110)
269 -> 150 (110)
276 -> 313 (112)
294 -> 61 (193)
313 -> 384 (112)
368 -> 29 (117)
369 -> 396 (148)
384 -> 193 (112)
396 -> 25 (148)
Fluxo: 1385
Arestas removidas: 15693

--Rotas do 2º turno-----------------------------
6 -> 139 (148)
16 -> 343 (110)
17 -> 240 (86)
25 -> 245 (148)
29 -> 251 (117)
33 -> 58 (86)
57 -> 17 (86)
58 -> 57 (86)
59 -> 33 (86)
87 -> 369 (148)
97 -> 164 (1)
113 -> 258 (1)
139 -> 209 (148)
146 -> 211 (193)
150 -> 266 (110)
157 -> 16 (110)
174 -> 148 (194)
207 -> 276 (112)
209 -> 265 (148)
211 -> 311 (193)
220 -> 174 (194)
224 -> 368 (117)
228 -> 224 (117)
251 -> 3 (117)
258 -> 97 (1)
266 -> 157 (110)
269 -> 150 (110)
276 -> 313 (112)
294 -> 61 (193)
313 -> 384 (112)
368 -> 29 (117)
369 -> 396 (148)
384 -> 193 (112)
396 -> 25 (148)
Fluxo: 1302
Arestas removidas: 15693

--Rotas do 3º turno-----------------------------
6 -> 139 (148)
16 -> 343 (110)
17 -> 240 (86)
25 -> 245 (148)
29 -> 251 (117)
33 -> 58 (86)
57 -> 17 (86)
58 -> 57 (86)
59 -> 33 (86)
87 -> 369 (148)
139 -> 209 (148)
146 -> 211 (193)
150 -> 266 (110)
157 -> 16 (110)
174 -> 148 (194)
207 -> 276 (112)
209 -> 265 (148)
211 -> 311 (193)
220 -> 174 (194)
224 -> 368 (117)
228 -> 224 (117)
251 -> 3 (117)
266 -> 157 (110)
269 -> 150 (110)
276 -> 313 (112)
294 -> 61 (193)
