--Rotas do 1º turno-----------------------------
3 -> 458 (138)
16 -> 466 (138)
17 -> 47 (172)
24 -> 646 (142)
47 -> 533 (172)
56 -> 180 (175)
78 -> 110 (195)
94 -> 515 (165)
148 -> 654 (190)
180 -> 461 (175)
255 -> 903 (142)
271 -> 459 (185)
272 -> 245 (197)
286 -> 705 (172)
346 -> 701 (192)
362 -> 78 (195)
440 -> 148 (190)
458 -> 531 (138)
461 -> 919 (175)
515 -> 908 (165)
531 -> 16 (138)
533 -> 286 (172)
568 -> 271 (185)
701 -> 114 (192)
747 -> 29 (165)
874 -> 24 (142)
903 -> 874 (142)
908 -> 747 (165)
919 -> 795 (175)
Fluxo: 1751
Arestas removidas: 139737

--Rotas do 2º turno-----------------------------
3 -> 458 (138)
16 -> 466 (138)
17 -> 47 (172)
24 -> 646 (142)
47 -> 533 (172)
56 -> 180 (175)
78 -> 110 (195)
94 -> 515 (165)
148 -> 654 (190)
180 -> 461 (175)
255 -> 903 (142)
271 -> 459 (185)
272 -> 245 (197)
286 -> 705 (172)
346 -> 701 (185)
362 -> 78 (195)
440 -> 148 (190)
458 -> 531 (138)
461 -> 919 (175)
515 -> 908 (165)
531 -> 16 (138)
533 -> 286 (172)
568 -> 271 (185)
701 -> 114 (185)
747 -> 29 (165)
874 -> 24 (142)
903 -> 874 (142)
908 -> 747 (165)
919 -> 795 (175)
Fluxo: 1744
Arestas removidas: 139737

--Rotas do 3º turno-----------------------------
3 -> 458 (138)
16 -> 466 (138)
17 -> 47 (172)
24 -> 646 (142)
47 -> 533 (172)
56 -> 180 (175)
78 -> 110 (195)
94 -> 515 (165)
148 -> 654 (190)
180 -> 461 (175)
255 -> 903 (142)
271 -> 459 (185)
272 -> 245 (197)
286 -> 705 (172)
362 -> 78 (195)
440 -> 148 (190)
458 -> 531 (138)
461 -> 919 (175)
515 -> 908 (165)
531 -> 16 (138)
533 -> 286 (172)
568 -> 271 (185)
747 -> 29 (165)
874 -> 24 (142)
903 -> 874 (142)
908 -> 747 (165)
919 -> 795 (175)
Fluxo: 1559
Arestas removidas: 139737

--Rotas do 4º turno-----------------------------
3 -> 458 (138)
16 -> 466 (138)
17 -> 47 (172)
24 -> 646 (142)
47 -> 533 (172)
56 -> 180 (175)
78 -> 110 (195)
94 -> 515 (165)
148 -> 654 (190)
180 -> 461 (175)
255 -> 903 (142)
271 -> 459 (185)
272 -> 245 (197)
286 -> 705 (172)
362 -> 78 (195)
440 -> 148 (190)
458 -> 531 (138)
461 -> 919 (175)
515 -> 908 (165)
531 -> 16 (138)
533 -> 286 (172)
568 -> 271 (185)
747 -> 29 (165)
874 -> 24 (142)
903 -> 874 (142)
908 -> 747 (165)
919 -> 795 (175)
Fluxo: 1559
Arestas removidas: 139737

--Rotas do 5º turno-----------------------------
3 -> 458 (138)
16 -> 466 (138)
17 -> 47 (172)
24 -> 646 (142)
47 -> 533 (172)
56 -> 180 (175)
78 -> 110 (195)
94 -> 515 (165)
148 -> 654 (190)
180 -> 461 (175)
255 -> 903 (142)
271 -> 459 (185)
272 -> 245 (197)
286 -> 705 (172)
362 -> 78 (195)
440 -> 148 (190)
458 -> 531 (138)
461 -> 919 (175)
515 -> 908 (165)
531 -> 16 (138)
533 -> 286 (172)
568 -> 271 (185)
747 -> 29 (165)
874 -> 24 (142)
903 -> 874 (142)
908 -> 747 (165)
919 -> 795 (175)
Fluxo: 1559
Arestas removidas: 139737

--Rotas do 6º turno-----------------------------
3 -> 458 (138)
16 -> 466 (138)
17 -> 47 (172)
24 -> 646 (142)
47 -> 533 (172)
56 -> 180 (175)
78 -> 110 (195)
94 -> 515 (165)
148 -> 654 (190)
180 -> 461 (175)
255 -> 903 (142)
271 -> 459 (185)
272 -> 245 (197)
286 -> 705 (172)
362 -> 78 (195)
440 -> 148 (190)
458 -> 531 (138)
461 -> 919 (175)
515 -> 908 (165)
531 -> 16 (138)
533 -> 286 (172)
568 -> 271 (185)
747 -> 29 (165)
874 -> 24 (142)
903 -> 874 (142)
908 -> 747 (165)
919 -> 795 (175)
Fluxo: 1559
Arestas removidas: 139737

--Rotas do 7º turno-----------------------------
3 -> 458 (138)
16 -> 466 (138)
17 -> 47 (172)
24 -> 646 (142)
47 -> 533 (172)
56 -> 180 (175)
78 -> 110 (195)
94 -> 515 (165)
148 -> 654 (190)
180 -> 461 (175)
255 -> 903 (142)
271 -> 459 (185)
272 -> 245 (197)
286 -> 705 (172)
362 -> 78 (195)
440 -> 148 (190)
458 -> 531 (138)
461 -> 919 (175)
515 -> 908 (165)
531 -> 16 (138)
533 -> 286 (172)
568 -> 271 (185)
747 -> 29 (165)
874 -> 24 (142)
903 -> 874 (142)
908 -> 747 (165)
919 -> 795 (175)
Fluxo: 1559
Arestas removidas: 139737

--Rotas do 8º turno-----------------------------
3 -> 458 (138)
16 -> 466 (138)
17 -> 47 (172)
24 -> 646 (142)
47 -> 533 (172)
56 -> 180 (175)
78 -> 110 (195)
94 -> 515 (165)
148 -> 654 (190)
180 -> 461 (175)
255 -> 903 (142)
271 -> 459 (185)
272 -> 245 (197)
286 -> 705 (172)
362 -> 78 (195)
440 -> 148 (190)
458 -> 531 (138)
461 -> 919 (175)
515 -> 908 (165)
531 -> 16 (138)
533 -> 286 (172)
568 -> 271 (185)
747 -> 29 (165)
874 -> 24 (142)
903 -> 874 (142)
908 -> 747 (165)
919 -> 795 (175)
Fluxo: 1559
Arestas removidas: 139737

--Rotas do 9º turno-----------------------------
3 -> 458 (138)
16 -> 466 (138)
17 -> 47 (172)
24 -> 646 (142)
47 -> 533 (172)
56 -> 180 (175)
78 -> 110 (195)
94 -> 515 (165)
148 -> 654 (190)
180 -> 461 (175)
255 -> 903 (142)
271 -> 459 (185)
272 -> 245 (197)
286 -> 705 (172)
362 -> 78 (195)
440 -> 148 (190)
458 -> 531 (138)
461 -> 919 (175)
