--Rotas do 1º turno-----------------------------
0 -> 265 (187)
1 -> 343 (113)
2 -> 62 (34)
4 -> 61 (105)
5 -> 3 (88)
5 -> 9 (37)
5 -> 18 (181)
5 -> 51 (92)
5 -> 73 (111)
5 -> 102 (87)
5 -> 104 (174)
5 -> 105 (157)
5 -> 120 (143)
5 -> 121 (161)
5 -> 128 (88)
5 -> 149 (141)
5 -> 154 (184)
5 -> 159 (150)
5 -> 173 (107)
5 -> 205 (77)
5 -> 222 (57)
5 -> 229 (96)
5 -> 244 (166)
5 -> 245 (163)
5 -> 246 (107)
5 -> 281 (119)
5 -> 321 (96)
5 -> 392 (95)
6 -> 14 (85)
6 -> 29 (153)
6 -> 31 (57)
6 -> 48 (135)
6 -> 49 (88)
6 -> 74 (73)
6 -> 77 (117)
6 -> 93 (69)
6 -> 94 (126)
6 -> 111 (57)
6 -> 133 (120)
6 -> 139 (100)
6 -> 240 (104)
6 -> 343 (75)
6 -> 364 (55)
7 -> 311 (135)
7 -> 343 (55)
8 -> 148 (180)
9 -> 134 (5)
9 -> 224 (32)
10 -> 193 (134)
10 -> 265 (33)
11 -> 3 (97)
11 -> 148 (70)
12 -> 343 (184)
13 -> 3 (14)
13 -> 16 (123)
13 -> 42 (91)
13 -> 61 (37)
13 -> 148 (66)
13 -> 162 (179)
13 -> 179 (12)
13 -> 265 (129)
14 -> 193 (49)
14 -> 245 (36)
15 -> 3 (120)
15 -> 17 (112)
15 -> 22 (110)
15 -> 23 (159)
15 -> 26 (130)
15 -> 34 (150)
15 -> 71 (56)
15 -> 85 (185)
15 -> 119 (104)
15 -> 134 (168)
15 -> 136 (131)
15 -> 160 (42)
15 -> 210 (61)
15 -> 255 (11)
15 -> 295 (30)
15 -> 297 (96)
15 -> 337 (157)
15 -> 379 (82)
16 -> 61 (108)
16 -> 148 (15)
17 -> 240 (198)
18 -> 3 (183)
19 -> 61 (126)
19 -> 265 (42)
20 -> 7 (190)
20 -> 19 (168)
20 -> 38 (158)
20 -> 60 (84)
20 -> 61 (138)
20 -> 66 (154)
20 -> 80 (169)
20 -> 100 (140)
20 -> 118 (193)
20 -> 128 (82)
20 -> 132 (110)
20 -> 145 (2)
20 -> 190 (76)
20 -> 227 (97)
20 -> 245 (62)
20 -> 293 (42)
20 -> 336 (52)
20 -> 338 (83)
20 -> 356 (19)
20 -> 364 (129)
20 -> 371 (74)
21 -> 193 (162)
22 -> 3 (149)
23 -> 3 (137)
23 -> 193 (22)
24 -> 240 (142)
25 -> 3 (164)
25 -> 245 (6)
26 -> 265 (130)
27 -> 3 (180)
27 -> 6 (55)
27 -> 8 (172)
27 -> 10 (167)
27 -> 29 (30)
27 -> 36 (107)
27 -> 43 (65)
27 -> 48 (7)
27 -> 54 (128)
27 -> 66 (8)
27 -> 73 (50)
27 -> 75 (1)
27 -> 99 (99)
27 -> 119 (91)
27 -> 130 (159)
27 -> 131 (197)
27 -> 141 (168)
27 -> 144 (141)
27 -> 155 (164)
27 -> 161 (191)
27 -> 171 (37)
27 -> 187 (131)
27 -> 195 (166)
27 -> 219 (142)
27 -> 223 (161)
27 -> 239 (84)
27 -> 241 (49)
27 -> 253 (200)
27 -> 260 (103)
27 -> 279 (185)
27 -> 291 (165)
27 -> 311 (27)
27 -> 320 (35)
27 -> 332 (120)
27 -> 349 (114)
27 -> 357 (108)
27 -> 371 (105)
27 -> 376 (88)
27 -> 383 (44)
27 -> 386 (146)
27 -> 391 (126)
28 -> 193 (52)
28 -> 265 (74)
29 -> 148 (183)
30 -> 193 (135)
31 -> 343 (57)
32 -> 1 (92)
32 -> 4 (105)
32 -> 21 (128)
32 -> 50 (143)
32 -> 52 (45)
32 -> 53 (37)
32 -> 148 (60)
32 -> 240 (137)
32 -> 265 (103)
33 -> 3 (165)
33 -> 193 (29)
34 -> 148 (159)
35 -> 311 (183)
36 -> 240 (104)
36 -> 343 (3)
37 -> 265 (32)
38 -> 240 (143)
38 -> 341 (15)
39 -> 265 (188)
40 -> 61 (82)
40 -> 148 (7)
41 -> 148 (33)
42 -> 193 (91)
43 -> 245 (65)
44 -> 265 (70)
45 -> 193 (111)
45 -> 343 (28)
47 -> 3 (185)
48 -> 61 (142)
49 -> 265 (88)
50 -> 193 (143)
51 -> 61 (92)
52 -> 3 (45)
53 -> 193 (47)
54 -> 193 (128)
55 -> 3 (138)
56 -> 3 (81)
56 -> 311 (36)
59 -> 0 (138)
59 -> 2 (34)
59 -> 33 (194)
59 -> 55 (118)
59 -> 64 (174)
59 -> 91 (131)
59 -> 96 (127)
59 -> 108 (24)
59 -> 114 (116)
59 -> 142 (110)
59 -> 144 (27)
59 -> 153 (98)
59 -> 180 (192)
59 -> 209 (83)
59 -> 225 (184)
59 -> 289 (135)
59 -> 300 (109)
59 -> 323 (142)
59 -> 335 (125)
59 -> 367 (4)
59 -> 370 (125)
59 -> 376 (50)
60 -> 240 (197)
62 -> 90 (188)
63 -> 148 (129)
63 -> 245 (26)
64 -> 61 (162)
64 -> 148 (12)
65 -> 389 (39)
66 -> 265 (162)
67 -> 61 (84)
67 -> 245 (41)
68 -> 3 (181)
70 -> 3 (93)
71 -> 385 (56)
72 -> 11 (167)
72 -> 77 (58)
72 -> 79 (131)
72 -> 139 (44)
72 -> 147 (163)
72 -> 148 (168)
72 -> 154 (1)
72 -> 177 (198)
72 -> 178 (151)
72 -> 193 (135)
72 -> 206 (130)
72 -> 239 (27)
72 -> 245 (178)
72 -> 259 (117)
72 -> 264 (56)
72 -> 268 (166)
72 -> 277 (176)
72 -> 285 (117)
72 -> 286 (78)
72 -> 299 (131)
72 -> 300 (13)
72 -> 311 (90)
72 -> 330 (63)
72 -> 378 (115)
72 -> 382 (136)
73 -> 61 (161)
74 -> 148 (73)
75 -> 343 (1)
76 -> 193 (38)
77 -> 311 (175)
79 -> 311 (160)
80 -> 3 (113)
80 -> 148 (56)
81 -> 343 (182)
82 -> 3 (114)
83 -> 24 (142)
83 -> 30 (105)
83 -> 39 (182)
83 -> 45 (139)
83 -> 61 (169)
83 -> 67 (125)
83 -> 76 (38)
83 -> 97 (85)
83 -> 111 (59)
83 -> 114 (42)
83 -> 129 (70)
83 -> 137 (102)
83 -> 193 (11)
83 -> 194 (140)
83 -> 204 (26)
83 -> 205 (79)
