Atenção!
Os abrigos não tem capacidade para atender a todos, apenas 241357 das 273757 UTs (88.16%) serão salvas!

--Rotas do 1º turno-----------------------------
0 -> 240 (173)
2 -> 98 (123)
2 -> 240 (54)
3 -> 231 (154)
3 -> 276 (26)
4 -> 276 (133)
5 -> 9 (140)
5 -> 98 (71)
5 -> 276 (116)
5 -> 327 (151)
5 -> 355 (152)
5 -> 482 (115)
6 -> 231 (186)
7 -> 98 (148)
7 -> 354 (50)
8 -> 367 (166)
9 -> 98 (189)
10 -> 231 (129)
10 -> 482 (32)
11 -> 367 (113)
11 -> 482 (36)
12 -> 98 (110)
12 -> 276 (76)
13 -> 98 (180)
13 -> 131 (18)
14 -> 354 (162)
15 -> 98 (159)
16 -> 240 (119)
16 -> 482 (50)
17 -> 231 (149)
18 -> 131 (147)
19 -> 131 (101)
19 -> 276 (74)
20 -> 354 (87)
20 -> 482 (47)
21 -> 131 (192)
22 -> 98 (142)
23 -> 240 (157)
23 -> 276 (18)
24 -> 379 (194)
25 -> 98 (119)
25 -> 240 (2)
26 -> 367 (180)
27 -> 98 (112)
28 -> 131 (195)
29 -> 231 (200)
30 -> 98 (172)
30 -> 131 (23)
31 -> 240 (194)
32 -> 379 (193)
33 -> 2 (177)
33 -> 6 (149)
33 -> 8 (163)
33 -> 11 (149)
33 -> 14 (154)
33 -> 15 (159)
33 -> 16 (169)
33 -> 18 (107)
33 -> 34 (125)
33 -> 40 (171)
33 -> 43 (186)
33 -> 46 (182)
33 -> 58 (135)
33 -> 62 (177)
33 -> 63 (123)
33 -> 66 (170)
33 -> 70 (167)
33 -> 72 (160)
33 -> 75 (144)
33 -> 80 (164)
33 -> 98 (181)
33 -> 101 (186)
33 -> 104 (154)
33 -> 116 (125)
33 -> 119 (141)
33 -> 125 (138)
33 -> 133 (119)
33 -> 138 (160)
33 -> 188 (158)
33 -> 240 (172)
33 -> 276 (86)
33 -> 313 (78)
33 -> 338 (54)
33 -> 379 (161)
33 -> 396 (145)
33 -> 456 (78)
33 -> 482 (174)
33 -> 484 (121)
33 -> 538 (167)
33 -> 545 (65)
33 -> 566 (46)
33 -> 580 (141)
34 -> 131 (199)
35 -> 131 (197)
36 -> 482 (198)
38 -> 0 (146)
38 -> 7 (198)
38 -> 10 (161)
38 -> 12 (186)
38 -> 18 (40)
38 -> 25 (121)
38 -> 26 (162)
38 -> 27 (112)
38 -> 48 (166)
38 -> 54 (117)
38 -> 67 (147)
38 -> 72 (13)
38 -> 76 (103)
38 -> 77 (124)
38 -> 82 (188)
38 -> 86 (163)
38 -> 89 (163)
38 -> 91 (192)
38 -> 98 (133)
38 -> 105 (154)
38 -> 117 (151)
38 -> 126 (117)
38 -> 131 (129)
38 -> 142 (130)
38 -> 155 (57)
38 -> 158 (141)
38 -> 161 (174)
38 -> 227 (192)
38 -> 240 (150)
38 -> 276 (124)
38 -> 280 (75)
38 -> 288 (109)
38 -> 325 (131)
38 -> 354 (167)
38 -> 367 (89)
38 -> 379 (154)
38 -> 384 (112)
38 -> 469 (102)
38 -> 548 (109)
39 -> 276 (189)
40 -> 276 (122)
40 -> 367 (49)
41 -> 240 (157)
42 -> 98 (145)
43 -> 231 (186)
44 -> 98 (163)
45 -> 231 (169)
46 -> 354 (180)
46 -> 379 (2)
47 -> 98 (123)
47 -> 276 (6)
48 -> 231 (191)
49 -> 4 (133)
49 -> 6 (37)
49 -> 20 (134)
49 -> 22 (125)
49 -> 28 (194)
49 -> 29 (189)
49 -> 30 (195)
49 -> 31 (166)
49 -> 32 (190)
49 -> 34 (74)
49 -> 53 (143)
49 -> 58 (26)
49 -> 60 (166)
49 -> 76 (83)
49 -> 90 (196)
49 -> 98 (137)
49 -> 106 (170)
49 -> 112 (163)
49 -> 115 (187)
49 -> 123 (184)
49 -> 129 (187)
49 -> 149 (170)
49 -> 162 (151)
49 -> 166 (141)
49 -> 181 (3)
49 -> 210 (163)
49 -> 213 (170)
49 -> 255 (152)
49 -> 276 (109)
49 -> 379 (99)
49 -> 430 (163)
49 -> 469 (82)
49 -> 484 (31)
49 -> 571 (147)
49 -> 594 (181)
50 -> 231 (175)
51 -> 98 (170)
52 -> 131 (171)
53 -> 276 (169)
54 -> 131 (146)
55 -> 98 (116)
55 -> 131 (7)
56 -> 131 (165)
57 -> 231 (163)
58 -> 276 (161)
60 -> 98 (169)
61 -> 240 (123)
62 -> 98 (144)
62 -> 131 (33)
63 -> 98 (116)
63 -> 231 (7)
64 -> 482 (157)
65 -> 276 (169)
66 -> 231 (142)
66 -> 367 (28)
67 -> 98 (167)
68 -> 131 (181)
69 -> 231 (155)
70 -> 98 (137)
70 -> 379 (30)
71 -> 240 (163)
71 -> 367 (20)
72 -> 231 (173)
73 -> 98 (198)
73 -> 276 (2)
74 -> 0 (27)
74 -> 9 (49)
74 -> 19 (175)
74 -> 22 (17)
74 -> 23 (175)
74 -> 28 (1)
74 -> 36 (196)
74 -> 39 (133)
74 -> 47 (129)
74 -> 53 (26)
74 -> 57 (163)
74 -> 78 (132)
74 -> 80 (31)
74 -> 81 (194)
74 -> 84 (175)
74 -> 87 (118)
74 -> 92 (196)
74 -> 98 (190)
74 -> 103 (188)
74 -> 106 (27)
74 -> 121 (196)
74 -> 128 (180)
74 -> 136 (184)
74 -> 157 (138)
74 -> 162 (32)
74 -> 176 (146)
74 -> 232 (151)
74 -> 252 (128)
74 -> 304 (148)
74 -> 306 (148)
74 -> 334 (195)
74 -> 354 (102)
74 -> 470 (170)
74 -> 506 (145)
74 -> 514 (152)
75 -> 98 (136)
75 -> 131 (8)
76 -> 231 (186)
77 -> 98 (160)
78 -> 98 (186)
79 -> 131 (128)
79 -> 231 (23)
80 -> 98 (195)
81 -> 367 (82)
81 -> 379 (71)
81 -> 482 (41)
82 -> 98 (140)
82 -> 240 (48)
83 -> 131 (185)
84 -> 276 (121)
84 -> 354 (54)
85 -> 131 (158)
85 -> 240 (11)
86 -> 276 (65)
86 -> 379 (98)
87 -> 98 (174)
88 -> 367 (152)
89 -> 131 (192)
90 -> 354 (187)
90 -> 379 (9)
91 -> 240 (130)
91 -> 379 (62)
92 -> 240 (104)
92 -> 276 (92)
93 -> 367 (150)
94 -> 231 (93)
94 -> 482 (77)
96 -> 17 (112)
96 -> 26 (18)
96 -> 39 (56)
96 -> 45 (169)
96 -> 61 (77)
96 -> 64 (157)
96 -> 193 (188)
96 -> 200 (175)
96 -> 240 (135)
96 -> 351 (88)
96 -> 364 (185)
96 -> 379 (189)
96 -> 445 (179)
96 -> 480 (136)
96 -> 544 (167)
96 -> 554 (160)
96 -> 558 (47)
96 -> 594 (2)
97 -> 41 (149)
97 -> 42 (140)
97 -> 98 (130)
97 -> 110 (195)
97 -> 194 (115)
97 -> 196 (94)
97 -> 208 (133)
97 -> 216 (119)
97 -> 297 (18)
99 -> 131 (130)
99 -> 231 (55)
100 -> 3 (180)
100 -> 17 (37)
100 -> 35 (154)
100 -> 48 (25)
100 -> 50 (131)
100 -> 54 (29)
100 -> 68 (155)
100 -> 78 (54)
100 -> 83 (82)
100 -> 99 (185)
100 -> 107 (195)
100 -> 108 (84)
100 -> 112 (30)
100 -> 114 (132)
100 -> 120 (168)
100 -> 122 (125)
100 -> 123 (4)
100 -> 124 (133)
100 -> 129 (2)
100 -> 131 (122)
100 -> 163 (140)
100 -> 173 (128)
100 -> 182 (199)
100 -> 206 (157)
100 -> 208 (43)
100 -> 209 (123)
100 -> 231 (170)
100 -> 301 (153)
100 -> 340 (196)
100 -> 357 (135)
100 -> 364 (15)
100 -> 367 (134)
100 -> 379 (67)
100 -> 428 (188)
100 -> 436 (128)
100 -> 521 (132)
100 -> 575 (155)
101 -> 98 (157)
101 -> 379 (29)
102 -> 98 (155)
102 -> 131 (31)
103 -> 131 (166)
103 -> 367 (22)
104 -> 131 (196)
105 -> 131 (173)
106 -> 276 (197)
107 -> 231 (116)
107 -> 354 (79)
108 -> 131 (67)
108 -> 482 (17)
109 -> 24 (194)
109 -> 31 (28)
109 -> 35 (43)
109 -> 44 (156)
109 -> 52 (170)
109 -> 71 (183)
109 -> 79 (151)
109 -> 85 (169)
109 -> 105 (19)
109 -> 122 (31)
109 -> 125 (33)
109 -> 127 (185)
109 -> 135 (100)
109 -> 137 (156)
109 -> 140 (133)
109 -> 141 (87)
109 -> 151 (158)
109 -> 160 (178)
109 -> 169 (183)
109 -> 172 (174)
109 -> 179 (164)
109 -> 185 (176)
109 -> 189 (134)
109 -> 192 (121)
109 -> 214 (178)
109 -> 216 (63)
109 -> 225 (151)
109 -> 236 (118)
109 -> 237 (178)
109 -> 241 (173)
109 -> 245 (132)
109 -> 246 (199)
109 -> 248 (116)
109 -> 267 (93)
109 -> 289 (198)
109 -> 309 (143)
109 -> 319 (140)
109 -> 338 (127)
109 -> 354 (135)
109 -> 367 (76)
109 -> 372 (159)
109 -> 387 (172)
109 -> 434 (139)
109 -> 456 (106)
109 -> 482 (64)
109 -> 507 (145)
109 -> 550 (166)
110 -> 367 (195)
111 -> 354 (125)
111 -> 379 (45)
112 -> 98 (193)
113 -> 98 (131)
114 -> 98 (123)
114 -> 231 (9)
115 -> 98 (187)
116 -> 98 (143)
117 -> 139 (13)
117 -> 379 (138)
118 -> 231 (155)
118 -> 379 (16)
119 -> 240 (146)
120 -> 354 (179)
121 -> 131 (149)
121 -> 379 (47)
122 -> 131 (156)
123 -> 98 (188)
124 -> 131 (118)
124 -> 231 (15)
125 -> 231 (171)
126 -> 276 (104)
126 -> 367 (13)
127 -> 379 (168)
127 -> 536 (17)
128 -> 240 (123)
128 -> 379 (57)
129 -> 354 (189)
130 -> 131 (190)
132 -> 98 (181)
132 -> 367 (18)
133 -> 131 (119)
134 -> 98 (126)
135 -> 131 (129)
136 -> 98 (190)
137 -> 231 (153)
137 -> 379 (3)
138 -> 231 (160)
139 -> 98 (13)
140 -> 98 (165)
141 -> 379 (87)
142 -> 131 (162)
144 -> 367 (112)
145 -> 231 (96)
145 -> 379 (63)
146 -> 98 (184)
147 -> 131 (185)
148 -> 276 (192)
149 -> 367 (183)
150 -> 231 (139)
150 -> 367 (28)
151 -> 276 (158)
152 -> 131 (162)
153 -> 36 (2)
153 -> 65 (130)
153 -> 77 (36)
153 -> 111 (170)
153 -> 131 (179)
153 -> 134 (106)
153 -> 148 (111)
153 -> 156 (126)
153 -> 186 (147)
153 -> 203 (133)
153 -> 276 (115)
153 -> 340 (176)
153 -> 341 (112)
153 -> 355 (44)
153 -> 530 (182)
154 -> 379 (177)
155 -> 131 (71)
156 -> 276 (192)
157 -> 354 (174)
158 -> 116 (18)
158 -> 276 (123)
159 -> 44 (7)
159 -> 52 (1)
159 -> 55 (123)
159 -> 67 (20)
159 -> 73 (200)
159 -> 87 (56)
159 -> 131 (184)
159 -> 132 (199)
159 -> 154 (177)
159 -> 231 (166)
159 -> 233 (143)
159 -> 340 (172)
159 -> 379 (87)
159 -> 461 (122)
159 -> 521 (11)
159 -> 539 (105)
159 -> 558 (39)
159 -> 571 (32)
159 -> 579 (45)
160 -> 98 (178)
161 -> 231 (193)
162 -> 276 (183)
163 -> 98 (164)
164 -> 276 (141)
165 -> 276 (129)
166 -> 231 (168)
167 -> 98 (137)
167 -> 276 (31)
168 -> 131 (117)
169 -> 131 (119)
169 -> 367 (64)
170 -> 98 (123)
170 -> 131 (29)
171 -> 276 (126)
172 -> 240 (183)
173 -> 98 (171)
174 -> 200 (8)
174 -> 240 (93)
174 -> 523 (40)
176 -> 276 (146)
177 -> 271 (192)
178 -> 98 (152)
179 -> 98 (111)
179 -> 367 (53)
180 -> 98 (122)
180 -> 276 (69)
181 -> 32 (3)
182 -> 367 (125)
182 -> 371 (74)
183 -> 131 (165)
184 -> 98 (157)
184 -> 276 (26)
185 -> 240 (172)
185 -> 276 (4)
186 -> 240 (114)
186 -> 367 (33)
188 -> 131 (158)
189 -> 231 (171)
190 -> 98 (181)
191 -> 171 (8)
191 -> 379 (145)
192 -> 367 (145)
193 -> 177 (4)
193 -> 231 (184)
194 -> 482 (115)
195 -> 98 (144)
195 -> 367 (13)
196 -> 231 (178)
197 -> 276 (164)
198 -> 276 (120)
199 -> 131 (177)
199 -> 367 (14)
200 -> 231 (183)
201 -> 367 (166)
202 -> 231 (110)
